order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
MOCK_ORDER_1,1,MOCK_PROD_15,MOCK_SELL_1,2026-04-27 23:13:45.090800,407.52,46.73
MOCK_ORDER_2,1,MOCK_PROD_18,MOCK_SELL_4,2026-04-27 23:13:45.090826,201.85,7.63
MOCK_ORDER_2,2,MOCK_PROD_27,MOCK_SELL_14,2026-04-27 23:13:45.090833,143.62,37.31
MOCK_ORDER_3,1,MOCK_PROD_21,MOCK_SELL_16,2026-04-27 23:13:45.090839,304.88,26.25
MOCK_ORDER_3,2,MOCK_PROD_22,MOCK_SELL_17,2026-04-27 23:13:45.090844,44.97,26.01
MOCK_ORDER_3,3,MOCK_PROD_35,MOCK_SELL_11,2026-04-27 23:13:45.090851,480.74,44.49
MOCK_ORDER_4,1,MOCK_PROD_3,MOCK_SELL_12,2026-04-27 23:13:45.090854,90.94,37.01
MOCK_ORDER_4,2,MOCK_PROD_35,MOCK_SELL_5,2026-04-27 23:13:45.090857,58.74,40.97
MOCK_ORDER_4,3,MOCK_PROD_42,MOCK_SELL_13,2026-04-27 23:13:45.090860,39.94,6.57
MOCK_ORDER_5,1,MOCK_PROD_36,MOCK_SELL_11,2026-04-27 23:13:45.090863,403.77,5.04
MOCK_ORDER_6,1,MOCK_PROD_21,MOCK_SELL_19,2026-04-27 23:13:45.090866,120.75,8.4
MOCK_ORDER_6,2,MOCK_PROD_20,MOCK_SELL_14,2026-04-27 23:13:45.090868,85.32,35.51
MOCK_ORDER_6,3,MOCK_PROD_11,MOCK_SELL_11,2026-04-27 23:13:45.090871,362.56,10.68
MOCK_ORDER_7,1,MOCK_PROD_32,MOCK_SELL_13,2026-04-27 23:13:45.090873,68.07,44.67
MOCK_ORDER_7,2,MOCK_PROD_5,MOCK_SELL_6,2026-04-27 23:13:45.090876,68.21,36.13
MOCK_ORDER_7,3,MOCK_PROD_6,MOCK_SELL_5,2026-04-27 23:13:45.090878,368.26,26.0
MOCK_ORDER_8,1,MOCK_PROD_20,MOCK_SELL_19,2026-04-27 23:13:45.090881,143.65,48.11
MOCK_ORDER_9,1,MOCK_PROD_5,MOCK_SELL_19,2026-04-27 23:13:45.090884,449.27,24.62
MOCK_ORDER_9,2,MOCK_PROD_14,MOCK_SELL_20,2026-04-27 23:13:45.090887,217.26,12.56
MOCK_ORDER_9,3,MOCK_PROD_28,MOCK_SELL_17,2026-04-27 23:13:45.090889,164.49,23.75
MOCK_ORDER_10,1,MOCK_PROD_33,MOCK_SELL_1,2026-04-27 23:13:45.090892,159.12,20.17
MOCK_ORDER_10,2,MOCK_PROD_22,MOCK_SELL_17,2026-04-27 23:13:45.090894,231.07,14.45
MOCK_ORDER_10,3,MOCK_PROD_45,MOCK_SELL_6,2026-04-27 23:13:45.090897,488.3,35.35
MOCK_ORDER_11,1,MOCK_PROD_13,MOCK_SELL_14,2026-04-27 23:13:45.090899,344.13,26.31
MOCK_ORDER_11,2,MOCK_PROD_41,MOCK_SELL_3,2026-04-27 23:13:45.090902,361.41,9.13
MOCK_ORDER_12,1,MOCK_PROD_20,MOCK_SELL_5,2026-04-27 23:13:45.090904,390.25,19.71
MOCK_ORDER_13,1,MOCK_PROD_34,MOCK_SELL_2,2026-04-27 23:13:45.090907,474.22,11.46
MOCK_ORDER_13,2,MOCK_PROD_44,MOCK_SELL_13,2026-04-27 23:13:45.090910,198.48,13.68
MOCK_ORDER_14,1,MOCK_PROD_41,MOCK_SELL_2,2026-04-27 23:13:45.090913,198.23,6.83
MOCK_ORDER_14,2,MOCK_PROD_11,MOCK_SELL_17,2026-04-27 23:13:45.090915,150.48,13.11
MOCK_ORDER_14,3,MOCK_PROD_44,MOCK_SELL_19,2026-04-27 23:13:45.090918,16.95,45.54
MOCK_ORDER_15,1,MOCK_PROD_26,MOCK_SELL_17,2026-04-27 23:13:45.090921,390.88,41.45
MOCK_ORDER_15,2,MOCK_PROD_22,MOCK_SELL_8,2026-04-27 23:13:45.090923,353.16,25.25
MOCK_ORDER_15,3,MOCK_PROD_11,MOCK_SELL_10,2026-04-27 23:13:45.090926,375.19,23.99
MOCK_ORDER_16,1,MOCK_PROD_50,MOCK_SELL_12,2026-04-27 23:13:45.090929,10.97,7.83
MOCK_ORDER_16,2,MOCK_PROD_26,MOCK_SELL_12,2026-04-27 23:13:45.090931,353.39,5.42
MOCK_ORDER_16,3,MOCK_PROD_19,MOCK_SELL_9,2026-04-27 23:13:45.090936,264.5,27.71
MOCK_ORDER_17,1,MOCK_PROD_30,MOCK_SELL_19,2026-04-27 23:13:45.090939,321.7,8.53
MOCK_ORDER_18,1,MOCK_PROD_30,MOCK_SELL_4,2026-04-27 23:13:45.090942,148.13,25.11
MOCK_ORDER_18,2,MOCK_PROD_46,MOCK_SELL_10,2026-04-27 23:13:45.090945,128.34,21.08
MOCK_ORDER_19,1,MOCK_PROD_24,MOCK_SELL_3,2026-04-27 23:13:45.090949,170.94,39.55
MOCK_ORDER_19,2,MOCK_PROD_21,MOCK_SELL_15,2026-04-27 23:13:45.090953,81.1,33.88
MOCK_ORDER_20,1,MOCK_PROD_9,MOCK_SELL_10,2026-04-27 23:13:45.090957,38.43,36.1
MOCK_ORDER_20,2,MOCK_PROD_11,MOCK_SELL_3,2026-04-27 23:13:45.090961,465.92,8.49
MOCK_ORDER_21,1,MOCK_PROD_26,MOCK_SELL_17,2026-04-27 23:13:45.090965,86.53,37.2
MOCK_ORDER_21,2,MOCK_PROD_7,MOCK_SELL_13,2026-04-27 23:13:45.090968,467.93,22.77
MOCK_ORDER_22,1,MOCK_PROD_43,MOCK_SELL_19,2026-04-27 23:13:45.090973,392.82,31.7
MOCK_ORDER_22,2,MOCK_PROD_10,MOCK_SELL_19,2026-04-27 23:13:45.090976,138.97,42.51
MOCK_ORDER_23,1,MOCK_PROD_49,MOCK_SELL_4,2026-04-27 23:13:45.090978,10.48,31.41
MOCK_ORDER_23,2,MOCK_PROD_8,MOCK_SELL_18,2026-04-27 23:13:45.090981,81.49,36.3
MOCK_ORDER_24,1,MOCK_PROD_20,MOCK_SELL_14,2026-04-27 23:13:45.090983,116.06,33.42
MOCK_ORDER_24,2,MOCK_PROD_1,MOCK_SELL_4,2026-04-27 23:13:45.090986,163.97,12.06
MOCK_ORDER_24,3,MOCK_PROD_20,MOCK_SELL_11,2026-04-27 23:13:45.090988,68.87,7.39
MOCK_ORDER_25,1,MOCK_PROD_3,MOCK_SELL_6,2026-04-27 23:13:45.090991,285.77,25.14
MOCK_ORDER_25,2,MOCK_PROD_35,MOCK_SELL_5,2026-04-27 23:13:45.090994,476.39,42.92
MOCK_ORDER_25,3,MOCK_PROD_41,MOCK_SELL_6,2026-04-27 23:13:45.090996,273.26,13.66
MOCK_ORDER_26,1,MOCK_PROD_35,MOCK_SELL_8,2026-04-27 23:13:45.090999,45.13,40.52
MOCK_ORDER_26,2,MOCK_PROD_42,MOCK_SELL_10,2026-04-27 23:13:45.091001,359.63,23.91
MOCK_ORDER_27,1,MOCK_PROD_30,MOCK_SELL_5,2026-04-27 23:13:45.091004,255.53,20.73
MOCK_ORDER_27,2,MOCK_PROD_1,MOCK_SELL_19,2026-04-27 23:13:45.091006,372.72,16.14
MOCK_ORDER_28,1,MOCK_PROD_46,MOCK_SELL_12,2026-04-27 23:13:45.091009,481.65,9.63
MOCK_ORDER_29,1,MOCK_PROD_37,MOCK_SELL_8,2026-04-27 23:13:45.091012,211.32,7.48
MOCK_ORDER_29,2,MOCK_PROD_47,MOCK_SELL_1,2026-04-27 23:13:45.091028,102.09,5.79
MOCK_ORDER_30,1,MOCK_PROD_10,MOCK_SELL_1,2026-04-27 23:13:45.091031,198.53,7.26
MOCK_ORDER_31,1,MOCK_PROD_19,MOCK_SELL_13,2026-04-27 23:13:45.091033,65.73,29.55
MOCK_ORDER_31,2,MOCK_PROD_41,MOCK_SELL_20,2026-04-27 23:13:45.091036,140.08,42.14
MOCK_ORDER_32,1,MOCK_PROD_40,MOCK_SELL_18,2026-04-27 23:13:45.091054,387.09,18.69
MOCK_ORDER_33,1,MOCK_PROD_12,MOCK_SELL_5,2026-04-27 23:13:45.091057,346.86,21.11
MOCK_ORDER_33,2,MOCK_PROD_40,MOCK_SELL_14,2026-04-27 23:13:45.091059,68.28,27.44
MOCK_ORDER_34,1,MOCK_PROD_1,MOCK_SELL_7,2026-04-27 23:13:45.091085,10.96,6.14
MOCK_ORDER_34,2,MOCK_PROD_18,MOCK_SELL_19,2026-04-27 23:13:45.091088,20.64,22.89
MOCK_ORDER_35,1,MOCK_PROD_22,MOCK_SELL_8,2026-04-27 23:13:45.091090,338.65,31.2
MOCK_ORDER_35,2,MOCK_PROD_13,MOCK_SELL_20,2026-04-27 23:13:45.091093,316.25,11.76
MOCK_ORDER_36,1,MOCK_PROD_48,MOCK_SELL_4,2026-04-27 23:13:45.091096,266.0,9.05
MOCK_ORDER_36,2,MOCK_PROD_25,MOCK_SELL_16,2026-04-27 23:13:45.091098,197.78,7.0
MOCK_ORDER_37,1,MOCK_PROD_35,MOCK_SELL_15,2026-04-27 23:13:45.091101,240.22,34.9
MOCK_ORDER_37,2,MOCK_PROD_48,MOCK_SELL_17,2026-04-27 23:13:45.091103,143.87,7.38
MOCK_ORDER_38,1,MOCK_PROD_29,MOCK_SELL_5,2026-04-27 23:13:45.091107,183.96,29.36
