review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
REV_MOCK_ORDER_1,MOCK_ORDER_1,2,produto com defeito,produto com defeito,2026-04-27 23:13:45.103784,2026-04-27 23:13:45.103786
REV_MOCK_ORDER_2,MOCK_ORDER_2,1,nao recebi,nao recebi,2026-04-27 23:13:45.103790,2026-04-27 23:13:45.103790
REV_MOCK_ORDER_3,MOCK_ORDER_3,4,entrega rapida,entrega rapida,2026-04-27 23:13:45.103792,2026-04-27 23:13:45.103792
REV_MOCK_ORDER_4,MOCK_ORDER_4,1,produto com defeito,produto com defeito,2026-04-27 23:13:45.103794,2026-04-27 23:13:45.103794
REV_MOCK_ORDER_5,MOCK_ORDER_5,2,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.103795,2026-04-27 23:13:45.103796
REV_MOCK_ORDER_6,MOCK_ORDER_6,4,recomendo,recomendo,2026-04-27 23:13:45.103797,2026-04-27 23:13:45.103797
REV_MOCK_ORDER_7,MOCK_ORDER_7,4,excelente produto,excelente produto,2026-04-27 23:13:45.103799,2026-04-27 23:13:45.103799
REV_MOCK_ORDER_8,MOCK_ORDER_8,4,recomendo,recomendo,2026-04-27 23:13:45.103800,2026-04-27 23:13:45.103800
REV_MOCK_ORDER_9,MOCK_ORDER_9,3,,,2026-04-27 23:13:45.103801,2026-04-27 23:13:45.103801
REV_MOCK_ORDER_10,MOCK_ORDER_10,5,entrega rapida,entrega rapida,2026-04-27 23:13:45.103803,2026-04-27 23:13:45.103803
REV_MOCK_ORDER_11,MOCK_ORDER_11,5,recomendo,recomendo,2026-04-27 23:13:45.103804,2026-04-27 23:13:45.103804
REV_MOCK_ORDER_12,MOCK_ORDER_12,5,excelente produto,excelente produto,2026-04-27 23:13:45.103806,2026-04-27 23:13:45.103806
REV_MOCK_ORDER_13,MOCK_ORDER_13,4,entrega rapida,entrega rapida,2026-04-27 23:13:45.103807,2026-04-27 23:13:45.103807
REV_MOCK_ORDER_14,MOCK_ORDER_14,5,recomendo,recomendo,2026-04-27 23:13:45.103809,2026-04-27 23:13:45.103809
